strategy,topic,corpus,method,participant,score,competence,activity,frustration,pleasure,pressure,effort,immersion,physicality,difficulty,familarity,understanding
AN,AN_G,G,1,1,7,1,7,7,1,7,7,7,6,7,1,1
AN,AN_O,O,0,1,5,2,6,5,2,5,4,4,5,3,2,4
EE,EE_G,G,1,1,7,2,7,5,2,6,7,2,7,3,5,4
EE,EE_O,O,0,1,4,1,7,6,2,6,7,5,5,6,1,1
IL,IL_G,G,0,1,5,2,7,6,1,7,7,7,5,7,1,3
IL,IL_O,O,1,1,5,5,5,2,6,2,3,4,2,2,1,5
LC,LC_G,G,1,1,7,2,6,3,3,5,6,2,2,5,1,3
LC,LC_O,O,0,1,7,5,3,2,6,2,5,5,2,5,2,3
RQ,RQ_G,G,0,1,6,5,5,2,4,5,6,5,2,2,2,7
RQ,RQ_O,O,1,1,5,3,6,5,4,5,5,2,2,4,1,4
TP,TP_G,G,0,1,7,5,7,2,3,5,7,5,3,5,2,4
TP,TP_O,O,1,1,7,5,5,3,4,4,5,4,2,3,1,4
AN,AN_G,G,0,2,7,4,5,4,3,3,4,6,3,2,1,5
AN,AN_O,O,1,2,7,6,2,2,7,2,2,6,1,1,2,7
EE,EE_G,G,0,2,7,5,2,2,4,2,3,6,2,3,1,6
EE,EE_O,O,1,2,5,2,7,6,1,6,6,6,7,5,1,4
IL,IL_G,G,1,2,5,3,6,5,4,4,5,5,3,4,1,4
IL,IL_O,O,0,2,4,6,1,1,6,1,2,5,2,1,1,7
LC,LC_G,G,0,2,7,5,2,2,5,2,2,6,1,2,2,6
LC,LC_O,O,1,2,7,6,1,1,6,1,2,6,1,2,2,6
RQ,RQ_G,G,1,2,7,5,4,3,5,3,3,6,2,3,1,5
RQ,RQ_O,O,0,2,7,6,2,1,7,2,2,6,1,3,1,6
TP,TP_G,G,1,2,7,4,5,2,6,3,5,6,2,2,1,6
TP,TP_O,O,0,2,7,5,2,2,5,2,5,6,2,2,1,5
AN,AN_G,G,1,3,7,3,6,7,3,2,5,6,2,7,1,3
AN,AN_O,O,0,3,6,3,5,4,2,2,5,5,2,5,1,5
EE,EE_G,G,0,3,7,3,5,4,3,2,4,3,2,3,2,6
EE,EE_O,O,1,3,5,1,6,5,2,2,6,5,2,6,1,3
IL,IL_G,G,0,3,6,5,6,3,3,5,5,5,3,4,1,4
IL,IL_O,O,1,3,6,3,5,3,3,2,5,6,2,3,2,5
LC,LC_G,G,1,3,7,3,5,6,3,2,5,5,2,6,1,3
LC,LC_O,O,0,3,6,2,6,7,3,2,6,5,3,7,1,2
RQ,RQ_G,G,0,3,7,3,5,6,3,2,5,5,2,7,1,4
RQ,RQ_O,O,1,3,5,4,4,2,3,1,4,2,2,2,4,6
TP,TP_G,G,1,3,6,4,5,3,3,2,5,3,2,3,1,5
TP,TP_O,O,0,3,7,3,2,5,2,2,5,4,2,6,1,4
AN,AN_G,G,0,4,3,2,5,4,3,4,3,4,4,6,1,1
AN,AN_O,O,1,4,7,4,4,2,5,3,5,4,5,5,5,4
EE,EE_G,G,1,4,6,5,5,2,4,5,4,4,4,5,1,4
EE,EE_O,O,0,4,3,5,4,1,4,4,6,4,5,6,2,5
IL,IL_G,G,1,4,4,4,4,4,4,4,5,4,4,5,1,4
IL,IL_O,O,0,4,5,7,6,1,6,4,6,3,5,4,7,6
LC,LC_G,G,0,4,5,2,6,4,2,6,6,4,6,5,1,4
LC,LC_O,O,1,4,7,4,4,3,4,4,6,4,4,6,2,4
RQ,RQ_G,G,1,4,5,6,5,1,6,3,4,2,5,4,1,6
RQ,RQ_O,O,0,4,5,4,5,4,4,4,5,4,5,4,5,5
TP,TP_G,G,0,4,6,5,5,1,6,4,6,4,5,4,1,5
TP,TP_O,O,1,4,7,7,5,1,6,3,4,2,5,3,6,6
AN,AN_G,G,1,5,7,5,2,1,5,2,1,2,1,3,1,5
AN,AN_O,O,0,5,5,5,2,1,5,1,1,2,1,2,1,5
EE,EE_G,G,1,5,6,5,2,1,5,1,1,2,1,2,1,5
EE,EE_O,O,0,5,6,3,2,1,6,1,1,1,1,2,1,5
IL,IL_G,G,0,5,6,6,1,1,2,1,1,2,1,2,1,6
IL,IL_O,O,1,5,5,5,1,1,6,1,1,2,2,2,1,5
LC,LC_G,G,1,5,5,4,2,1,5,1,2,2,2,2,1,5
LC,LC_O,O,0,5,4,4,1,1,5,2,1,2,2,3,3,4
RQ,RQ_G,G,0,5,4,5,2,1,5,2,1,2,1,2,1,5
RQ,RQ_O,O,1,5,5,3,2,1,6,1,1,1,1,2,1,5
TP,TP_G,G,0,5,6,6,1,1,6,1,1,2,1,1,1,6
TP,TP_O,O,1,5,7,3,2,1,6,1,2,4,1,2,1,3
AN,AN_G,G,0,6,5,3,5,5,3,5,5,5,4,6,1,3
AN,AN_O,O,1,6,3,4,5,4,3,4,5,4,3,5,3,3
EE,EE_G,G,0,6,6,5,5,4,5,4,5,6,4,6,2,3
EE,EE_O,O,1,6,5,5,5,3,5,5,6,3,2,3,6,6
IL,IL_G,G,1,6,4,5,4,3,5,3,4,4,3,3,1,4
IL,IL_O,O,0,6,3,4,5,5,4,5,5,5,4,5,2,3
LC,LC_G,G,0,6,6,5,4,2,4,2,5,2,2,3,3,5
LC,LC_O,O,1,6,5,6,5,2,5,3,3,3,3,3,5,5
RQ,RQ_G,G,1,6,1,3,5,5,4,4,5,4,3,5,3,3
RQ,RQ_O,O,0,6,4,3,6,4,3,5,5,6,5,6,2,3
TP,TP_G,G,1,6,5,5,3,3,5,4,5,3,3,4,5,5
TP,TP_O,O,0,6,3,5,5,3,4,3,5,4,3,3,3,4
AN,AN_G,G,1,7,4,4,4,4,4,3,6,4,3,5,2,3
AN,AN_O,O,0,7,7,6,2,2,2,2,2,2,2,2,6,6
EE,EE_G,G,0,7,6,3,6,4,4,4,6,4,2,3,2,3
EE,EE_O,O,1,7,3,5,6,3,3,3,3,3,4,2,5,6
IL,IL_G,G,0,7,4,1,7,4,6,6,5,6,2,6,1,3
IL,IL_O,O,1,7,5,5,3,2,2,2,2,2,2,2,2,5
LC,LC_G,G,1,7,3,4,6,4,3,2,6,4,3,4,3,4
LC,LC_O,O,0,7,7,5,4,2,2,2,3,2,2,2,4,5
RQ,RQ_G,G,0,7,7,4,6,4,5,2,5,2,4,3,5,4
RQ,RQ_O,O,1,7,5,6,2,2,2,2,2,2,2,2,2,5
TP,TP_G,G,1,7,7,4,3,2,2,2,3,2,2,3,2,4
TP,TP_O,O,0,7,6,5,4,4,3,2,5,3,4,4,5,5
AN,,,0,8,7,6,5,4,3,4,6,5,5,4,1,5
AN,,,1,8,6,6,6,4,5,4,6,4,5,3,1,6
EE,,,1,8,6,2,6,6,1,6,7,5,6,6,2,2
EE,,,0,8,4,5,6,6,2,6,6,1,6,7,1,2
IL,,,1,8,5,6,7,3,4,3,6,5,6,5,2,6
IL,,,0,8,6,2,7,7,1,6,7,7,6,7,2,2
LC,,,0,8,4,2,7,7,1,4,6,5,6,7,1,1
LC,,,1,8,7,6,6,5,6,5,6,4,5,3,3,6
RQ,,,1,8,7,6,6,3,5,6,6,5,6,4,1,6
RQ,,,0,8,7,5,7,5,2,5,7,5,6,5,3,5
TP,,,0,8,7,2,7,6,1,6,7,7,6,6,2,1
TP,,,1,8,6,5,7,6,1,6,7,5,6,6,1,4
AN,,,1,9,6,3,1,1,1,1,1,1,1,3,1,3
AN,,,0,9,7,4,1,1,1,1,1,1,1,1,1,7
EE,,,1,9,4,4,2,1,1,1,1,5,3,1,1,6
EE,,,0,9,6,4,5,4,1,2,1,6,5,1,1,7
IL,,,0,9,2,4,3,1,1,1,1,1,1,3,1,3
IL,,,1,9,6,1,3,3,1,2,1,4,1,3,1,4
LC,,,1,9,5,3,1,2,1,1,1,1,1,3,1,3
LC,,,0,9,6,3,1,2,1,1,1,3,1,2,1,3
RQ,,,0,9,7,4,1,1,1,1,1,1,1,1,1,6
RQ,,,1,9,6,6,3,1,1,1,1,5,1,3,1,4
TP,,,0,9,4,7,1,1,1,1,1,6,2,1,1,7
TP,,,1,9,7,4,3,1,4,1,1,2,2,1,1,6
AN,,,0,10,7,2,6,2,4,1,2,3,2,4,1,4
AN,,,1,10,7,6,3,1,5,1,2,4,2,1,6,6
EE,,,0,10,7,6,5,1,5,1,2,5,2,2,4,6
EE,,,1,10,7,2,5,2,4,1,5,4,3,3,4,5
IL,,,1,10,6,5,2,1,5,1,2,4,2,3,1,5
IL,,,0,10,7,5,2,1,6,1,1,4,2,2,5,5
LC,,,0,10,7,5,3,1,6,1,3,4,2,2,5,5
LC,,,1,10,7,5,3,1,4,1,2,4,2,2,4,6
RQ,,,1,10,7,6,3,1,6,1,2,4,2,2,5,5
RQ,,,0,10,6,4,5,1,4,1,3,3,2,2,1,5
TP,,,1,10,7,6,4,1,5,1,2,4,2,2,2,6
TP,,,0,10,7,7,1,1,5,1,1,5,2,1,6,7
AN,,,1,11,6,3,3,3,2,3,5,5,3,5,1,3
AN,,,0,11,6,5,2,3,3,3,2,4,2,2,1,6
EE,,,0,11,6,3,4,5,1,4,6,5,3,6,1,3
EE,,,1,11,3,6,3,3,2,2,4,4,2,2,1,6
IL,,,0,11,5,5,3,3,3,2,2,4,2,3,1,5
IL,,,1,11,6,5,2,4,1,3,5,5,3,5,1,4
LC,,,1,11,5,4,4,5,1,3,5,5,4,4,1,5
LC,,,0,11,6,4,3,4,1,2,2,4,2,5,1,4
RQ,,,0,11,7,3,5,5,1,4,5,5,4,6,1,3
RQ,,,1,11,6,5,3,2,3,2,2,4,3,2,2,6
TP,,,1,11,6,6,4,3,4,2,2,3,3,2,1,6
TP,,,0,11,2,3,3,4,1,3,5,4,2,5,1,4
AN,,,0,16,7,5,4,4,3,3,3,3,2,5,1,5
AN,,,1,16,6,5,4,3,3,3,3,3,2,4,2,4
EE,,,1,16,7,4,5,4,2,4,5,2,2,6,4,4
EE,,,0,16,7,4,6,5,3,3,5,3,3,4,3,5
IL,,,1,16,5,5,4,2,6,4,3,4,2,3,1,5
IL,,,0,16,7,4,5,4,3,3,5,2,3,5,2,3
LC,,,0,16,6,4,5,4,3,3,4,3,2,5,1,4
LC,,,1,16,6,4,4,3,4,3,3,3,2,4,3,4
RQ,,,1,16,7,5,4,3,3,3,3,2,2,3,1,5
RQ,,,0,16,6,3,5,4,4,3,5,3,3,5,1,3
TP,,,0,16,6,6,3,3,2,3,3,3,1,3,3,6
TP,,,1,16,7,6,3,2,4,4,4,2,2,3,1,7
