Timestamp,Participant number:,What can globally reduce atmospheric CO2 concentrations by up to 30 parts per million?,What is one factor that limits the effectiveness of reforestation and afforestation?,How does the mountain pine beetle affect carbon storage in forests?,What climatic condition is helping the mountain pine beetle thrive in Alberta?,What is a potential limitation involving landowner behavior in forestry?,What competes with private-sector forestry for land use?,What will dictate the success of some climate policy efforts according to the text?, I am good at watching this multimodal learning material.,"How much mental and perceptual activity was required while watching the multimodal learning material (e.g., thinking, remembering)?","How frustrated, irritated, stressed, or annoyed did you feel while watching the multimodal learning material?",Watching this multimodal learning material was pleasurable to me.,How much time pressure did you feel while watching the multimodal learning material?,How much effort did you have to put in mentally and physically to understand the multimodal learning material?, I lost track of what was going on outside of watching this multimodal learning material.,"How much physical effort was required while engaging with the multimodal learning material (e.g., adjusting posture, maintaining focus)?",How difficult did you find the content of the multimodal learning material?,How familiar were you with the content of the multimodal learning material before engaging with it?,I have a good understanding of the multimodal learning material
2024/08/04 12:42:30 PM GMT+8,P3,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,3,5,4,3,2,4,3,2,3,2,6
2024/08/04 8:31:02 PM GMT+8,P1,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,2,7,5,2,6,7,2,7,3,5,4
2024/08/05 11:13:22 AM GMT+8,16,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,4,5,4,2,4,5,2,2,6,4,4
2024/08/05 12:34:23 PM GMT+8,P2,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,5,2,2,4,2,3,6,2,3,1,6
2024/08/06 4:43:15 PM GMT+8,P7,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(B) Government regulations,3,6,4,4,4,6,4,2,3,2,3
2024/08/06 8:25:55 PM GMT+8,11,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(A) Increases carbon sequestration,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,3,4,5,1,4,6,5,3,6,1,3
2024/08/06 9:07:05 PM GMT+8,8,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(A) Resistance to planting any trees,(C) Agriculture and urban development,(C) Landowner decisions,2,6,6,1,6,7,5,6,6,2,2
2024/08/07 12:05:49 AM GMT+8,P10,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,6,5,1,5,1,2,5,2,2,4,6
2024/08/07 2:41:58 AM GMT+8,P4,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(A) Increases carbon sequestration,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,5,5,2,4,5,4,4,4,5,1,4
2024/08/07 4:07:07 PM GMT+8,P5,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(B) Government regulations,5,2,1,5,1,1,2,1,2,1,5
2024/08/07 8:26:05 PM GMT+8,P12,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(B) Converts forests into a carbon source,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,5,5,5,5,5,5,4,3,4,2,4
2024/08/07 9:51:43 PM GMT+8,P9,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(A) Increases carbon sequestration,(B) Warmer minimum temperatures and drier summers,(A) Resistance to planting any trees,(C) Agriculture and urban development,(D) Technological advancements,4,2,1,1,1,1,5,3,1,1,6
2024/08/07 11:06:12 PM GMT+8,P15,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(A) Increases carbon sequestration,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,2,5,4,2,4,5,4,2,4,2,4
2024/08/07 11:22:43 PM GMT+8,P6,(B) Reforestation and afforestation,(B) Forest vulnerability to disturbances,(A) Increases carbon sequestration,(B) Warmer minimum temperatures and drier summers,(B) Choosing tree species and forest management intensity,(C) Agriculture and urban development,(C) Landowner decisions,5,5,4,5,4,5,6,4,6,2,3
