Timestamp,Participant number:,What are some effects of yawning?,Why is contagious yawning thought to be beneficial for herd animals?,How is sympathy different from empathy according to the text?,What is emotional contagion?,How do children with autism generally react to videos of people yawning?,What does the first animal to yawn in a herd signal?,What is the relationship between contagious yawning and empathy?, I am good at watching this multimodal learning material.,"How much mental and perceptual activity was required while watching the multimodal learning material (e.g., thinking, remembering)?","How frustrated, irritated, stressed, or annoyed did you feel while watching the multimodal learning material?",Watching this multimodal learning material was pleasurable to me.,How much time pressure did you feel while watching the multimodal learning material?,How much effort did you have to put in mentally and physically to understand the multimodal learning material?, I lost track of what was going on outside of watching this multimodal learning material.,"How much physical effort was required while engaging with the multimodal learning material (e.g., adjusting posture, maintaining focus)?",How difficult did you find the content of the multimodal learning material?,How familiar were you with the content of the multimodal learning material before engaging with it?,I have a good understanding of the multimodal learning material
2024/08/04 12:47:23 PM GMT+8,P3,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,3,5,3,3,2,5,6,2,3,2,5
2024/08/04 9:43:00 PM GMT+8,P1,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(C) Ability to empathize,(A) Yawn less,(B) Stay alert,(B) Related to empathy,5,5,2,6,2,3,4,2,2,1,5
2024/08/05 6:43:14 AM GMT+8,P2,(A) Increases blood pressure,(A) Helps them relax,(A) Sharing emotions,(C) Ability to empathize,(A) Yawn less,(B) Stay alert,(B) Related to empathy,6,1,1,6,1,2,5,2,1,1,7
2024/08/05 11:46:00 AM GMT+8,16,(A) Increases blood pressure,(B) Keeps them alert,(B) Concern for others,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,4,5,4,3,3,5,2,3,5,2,3
2024/08/06 3:54:29 PM GMT+8,P7,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(B) Spread of emotions,(C) Yawn the same,(B) Stay alert,(B) Related to empathy,5,3,2,2,2,2,2,2,2,2,5
2024/08/06 8:51:33 PM GMT+8,8,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,2,7,7,1,6,7,7,6,7,2,2
2024/08/06 9:03:18 PM GMT+8,11,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,5,2,4,1,3,5,5,3,5,1,4
2024/08/07 12:54:53 AM GMT+8,P10,(A) Increases blood pressure,(B) Keeps them alert,(B) Concern for others,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,5,2,1,6,1,1,4,2,2,5,5
2024/08/07 2:47:22 AM GMT+8,P4,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(C) Ability to empathize,(A) Yawn less,(B) Stay alert,(B) Related to empathy,7,6,1,6,4,6,3,5,4,7,6
2024/08/07 3:15:23 PM GMT+8,P5,(A) Increases blood pressure,(C) Signals meal times,(A) Sharing emotions,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,5,1,1,6,1,1,2,2,2,1,5
2024/08/07 8:49:44 PM GMT+8,P12,(A) Increases blood pressure,(B) Keeps them alert,(B) Concern for others,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,5,5,2,5,2,5,3,3,3,2,4
2024/08/07 9:56:17 PM GMT+8,P6,(D) Reduces alertness,(A) Helps them relax,(B) Concern for others,(C) Ability to empathize,(A) Yawn less,(A) Tiredness,(B) Related to empathy,4,5,5,4,5,5,5,4,5,2,3
2024/08/07 11:03:30 PM GMT+8,P9,(B) Lowers blood pressure,(B) Keeps them alert,(B) Concern for others,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,1,3,3,1,2,1,4,1,3,1,4
2024/08/07 11:10:53 PM GMT+8,P15,(A) Increases blood pressure,(B) Keeps them alert,(A) Sharing emotions,(B) Spread of emotions,(A) Yawn less,(B) Stay alert,(B) Related to empathy,6,2,2,6,2,4,2,4,1,2,6
